comp,y
Ba6Zn2Zr2Co6O24,-1.771
Ba6Zn2Fe8O24,-1.783
Ba6Zn2Hf2Fe6O24,-1.884
Ba6Zn2Nb2Fe6O24,-2.263
Ba6Zn2Ta2Fe6O24,-2.241
Ba6Zn2Ti2Fe6O24,-1.887
Ba6Zn2Zr2Fe6O24,-2.009
Ba6Zn2Mn8O24,-2.144
Ba6Zn2Hf2Mn6O24,-1.661
Ba6Zn2Mn6Nb2O24,-2.151
Ba6Zn2Ta2Mn6O24,-2.174
Ba6Zn2Ti2Mn6O24,-2.223
Ba6Zn2Zr2Mn6O24,-1.668
Ba6Zn2Ni8O24,-1.152
Ba6Zn2Hf2Ni6O24,-1.232
Ba6Zn2Nb2Ni6O24,-1.384
Ba6Zn2Ta2Ni6O24,-1.41
Ba6Zn2Ti2Ni6O24,-1.384
Ba6Zn2Zr2Ni6O24,-1.233
Ba4La1Zn3Ni8O24,-1.461
Ba4La1Zn3Co8O24,-2.167
Ba4La1Zn3Fe8O24,-2.167
Ba4La1Zn3Mn8O24,-2.56
La7Zn1Co8O24,-3.126
La7Zn1Fe8O24,-3.661
La7Zn1Mn8O24,-3.932
La7Zn1Ni8O24,-2.789
La6Zn2Co8O24,-2.985
La6Zn2Hf2Co6O24,-3.274
La6Zn2Nb2Co6O24,-3.504
La6Zn2Ta2Co6O24,-3.523
La6Zn2Ti2Co6O24,-3.104
La6Zn2Zr2Co6O24,-3.054
La6Zn2Fe8O24,-3.47
La6Zn2Hf2Fe6O24,-3.456
La6Zn2Nb2Fe6O24,-3.889
La6Zn2Ta2Fe6O24,-3.827
La6Zn2Ti2Fe6O24,-3.481
La6Zn2Zr2Fe6O24,-3.469
La6Zn2Mn8O24,-3.647
La6Zn2Hf2Mn6O24,-3.949
La6Zn2Mn6Nb2O24,-3.997
La6Zn2Ta2Mn6O24,-4.012
La6Zn2Ti2Mn6O24,-3.848
La6Zn2Zr2Mn6O24,-3.873
La6Zn2Ni8O24,-2.589
La6Zn2Hf2Ni6O24,-2.903
La6Zn2Nb2Ni6O24,-3.096
La6Zn2Ta2Ni6O24,-3.083
La6Zn2Ti2Ni6O24,-2.929
La6Zn2Zr2Ni6O24,-2.897
La5Zn3Co8O24,-2.915
La5Zn3Fe8O24,-3.281
La5Zn3Mn8O24,-3.455
La5Zn3Ni8O24,-2.514
Pr7Zn1Co8O24,-2.534
Pr7Zn1Fe8O24,-3.092
Pr7Zn1Mn8O24,-3.417
Pr7Zn1Ni8O24,-1.985
Pr6Zn2Co8O24,-2.385
Pr6Zn2Hf2Co6O24,-2.708
Pr6Zn2Nb2Co6O24,-2.863
Pr6Zn2Ta2Co6O24,-2.955
Pr6Zn2Ti2Co6O24,-2.506
Pr6Zn2Zr2Co6O24,-2.523
Pr6Zn2Fe8O24,-2.89
Pr6Zn2Hf2Fe6O24,-2.873
Pr6Zn2Nb2Fe6O24,-3.261
Pr6Zn2Ta2Fe6O24,-3.266
Pr6Zn2Ti2Fe6O24,-2.921
Pr6Zn2Zr2Fe6O24,-2.903
Pr6Zn2Mn8O24,-3.174
Pr6Zn2Hf2Mn6O24,-3.341
Pr6Zn2Mn6Nb2O24,-3.492
